Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1755508040,20,,Aggregated,8.400000,1.700000,19,34,250,270,310,530,1000,1000,1600,1600,1600,547,106,19,124.68230880987116,1.9472499998300918,1602.9233330000352,55939.35831809872
1755508041,20,,Aggregated,8.500000,1.700000,19,34,250,270,310,530,850,1000,1600,1600,1600,553,109,19,124.00111762386923,1.9472499998300918,1602.9233330000352,55752.034358047014
1755508042,20,,Aggregated,8.200000,1.600000,19,34,250,270,310,520,850,1000,1600,1600,1600,563,109,19,122.2109337708709,1.9472499998300918,1602.9233330000352,55998.75488454707
1755508043,20,,Aggregated,8.600000,1.900000,19,34,250,270,300,520,850,1000,1600,1600,1600,571,111,19,121.2438773485105,1.9472499998300918,1602.9233330000352,56027.050788091066
1755508044,20,,Aggregated,8.700000,2.000000,19,34,250,260,300,510,850,1000,1600,1600,1600,582,113,18,120.05731021821376,1.9472499998300918,1602.9233330000352,57766.12542955326
1755508045,20,,Aggregated,8.700000,1.900000,19,34,250,260,300,510,850,1000,1600,1600,1600,590,113,19,118.82900290508539,1.9472499998300918,1602.9233330000352,58957.13220338983
1755508046,20,,Aggregated,8.900000,2.000000,19,34,250,260,300,510,850,1000,1600,1600,1600,598,115,19,118.79178777592159,1.9472499998300918,1602.9233330000352,58953.03846153846
1755508047,20,,Aggregated,9.000000,1.900000,18,34,250,260,300,510,840,1000,1600,1600,1600,608,118,18,118.2276920312508,1.9472499998300918,1602.9233330000352,58372.85197368421
1755508048,20,,Aggregated,8.900000,1.800000,18,33,250,260,300,510,840,1000,1600,1600,1600,615,118,18,117.51963015935087,1.9472499998300918,1602.9233330000352,58862.68780487805
1755508049,20,,Aggregated,9.400000,1.900000,18,33,250,260,300,500,840,1000,1600,1600,1600,626,120,18,116.70601172364326,1.9472499998300918,1602.9233330000352,58213.62779552716
1755508050,20,,Aggregated,8.800000,1.600000,18,33,240,260,300,500,840,1000,1600,1600,1600,634,123,18,116.02817337855085,1.9472499998300918,1602.9233330000352,58991.28548895899
1755508051,20,,Aggregated,8.900000,1.500000,18,34,250,260,300,500,840,1000,1600,1600,1600,644,123,18,116.38566013820027,1.9472499998300918,1602.9233330000352,58836.08850931677
1755508052,20,,Aggregated,9.200000,1.700000,18,33,250,260,300,500,840,1000,1600,1600,1600,651,124,18,115.70022862673031,1.9472499998300918,1602.9233330000352,58207.52841781874
1755508053,20,,Aggregated,8.600000,1.600000,18,34,250,260,300,490,840,1000,1600,1600,1600,663,127,18,115.34320933786321,1.9472499998300918,1602.9233330000352,58277.143288084466
1755508054,20,,Aggregated,9.000000,1.400000,18,33,240,260,300,490,840,1000,1600,1600,1600,674,130,18,114.11249449703773,1.9472499998300918,1602.9233330000352,58806.275964391694
1755508055,20,,Aggregated,8.800000,1.500000,18,33,240,260,300,490,840,1000,1600,1600,1600,679,132,18,113.78590727688331,1.9472499998300918,1602.9233330000352,59107.87481590574
1755508056,20,,Aggregated,9.200000,1.500000,17,33,170,260,300,480,840,1000,1600,1600,1600,694,137,17,111.98336845677726,1.9472499998300918,1602.9233330000352,58914.36599423631
1755508057,20,,Aggregated,9.100000,1.700000,17,33,170,260,300,480,840,1000,1600,1600,1600,700,137,17,111.95780404714762,1.9472499998300918,1602.9233330000352,59125.067142857144
1755508058,20,,Aggregated,9.000000,2.000000,17,33,170,260,300,480,790,1000,1600,1600,1600,707,139,17,111.35338778784134,1.9472499998300918,1602.9233330000352,59954.25035360679
1755508059,20,,Aggregated,9.400000,2.200000,17,33,170,260,300,480,790,1000,1600,1600,1600,716,143,17,111.07185160614897,1.9472499998300918,1602.9233330000352,60607.167597765365
1755508060,20,,Aggregated,9.200000,1.900000,17,33,150,260,300,460,790,1000,1600,1600,1600,725,145,17,110.66507384965693,1.9472499998300918,1602.9233330000352,61254.1075862069
1755508061,20,,Aggregated,9.200000,2.100000,17,33,130,260,300,460,790,1000,1600,1600,1600,734,146,17,109.80390394959424,1.9472499998300918,1602.9233330000352,61202.5068119891
1755508062,20,,Aggregated,9.300000,2.500000,17,33,150,260,300,420,790,1000,1600,1600,1600,743,147,17,109.62698351009811,1.9472499998300918,1602.9233330000352,60809.541049798114
1755508063,20,,Aggregated,9.200000,2.200000,17,33,130,260,300,420,790,1000,1600,1600,1600,750,147,17,109.1110192760037,1.9472499998300918,1602.9233330000352,60927.890666666666
1755508064,20,,Aggregated,9.000000,2.300000,17,33,94,260,300,420,790,1000,1600,1600,1600,759,147,17,108.02432350461262,1.9472499998300918,1602.9233330000352,60883.371541501976
1755508065,20,,Aggregated,9.100000,2.300000,17,33,94,260,290,410,790,1000,1600,1600,1600,767,149,17,107.68360685397579,1.9472499998300918,1602.9233330000352,60585.82138200782
1755508066,20,,Aggregated,8.700000,2.000000,17,33,83,260,290,410,790,1000,1600,1600,1600,774,152,17,107.19787731265971,1.9472499998300918,1602.9233330000352,60704.01291989664
1755508067,20,,Aggregated,8.600000,1.700000,17,33,69,260,290,410,790,1000,1600,1600,1600,787,154,17,106.2997220431999,1.9472499998300918,1602.9233330000352,61011.470139771285
1755508068,20,,Aggregated,8.800000,1.600000,17,33,67,260,290,410,790,1000,1600,1600,1600,795,155,17,105.67037158867807,1.9472499998300918,1602.9233330000352,61049.08176100629
1755508069,20,,Aggregated,8.000000,1.500000,17,33,69,260,290,400,790,1000,1600,1600,1600,802,155,17,105.83237437281564,1.9472499998300918,1602.9233330000352,61485.21321695761
1755508070,20,,Aggregated,8.700000,1.700000,17,33,67,260,290,400,790,1000,1600,1600,1600,814,156,17,105.01777937469151,1.9472499998300918,1602.9233330000352,62805.850122850126
1755508072,20,,Aggregated,8.800000,1.600000,17,33,66,260,290,400,790,1000,1600,1600,1600,822,157,17,104.16758296958572,1.9472499998300918,1602.9233330000352,62827.30900243309
1755508073,20,,Aggregated,8.400000,1.000000,17,33,66,260,290,400,790,1000,1600,1600,1600,831,162,17,103.81523971480065,1.9472499998300918,1602.9233330000352,63086.83152827918
1755508074,20,,Aggregated,8.800000,1.100000,17,33,66,260,290,400,790,1000,1600,1600,1600,839,163,17,103.17873037782877,1.9472499998300918,1602.9233330000352,63105.41358760429
1755508075,20,,Aggregated,8.700000,1.100000,17,33,66,260,290,360,790,1000,1600,1600,1600,850,163,17,103.4695912705843,1.9472499998300918,1602.9233330000352,63515.211764705884
1755508076,20,,Aggregated,8.800000,1.600000,17,33,67,260,290,360,770,1000,1600,1600,1600,860,164,17,103.72400716627297,1.9472499998300918,1602.9233330000352,63695.26162790698
1755508077,20,,Aggregated,8.800000,1.600000,17,33,66,260,290,350,770,1000,1600,1600,1600,869,165,17,103.09828960068212,1.9472499998300918,1602.9233330000352,64251.910241657075
